x	approx	analytic	error
0.00000000	0.00000000	0.00000000	4.16e-16
0.02040816	0.00000850	0.00000850	9.40e-13
0.04081633	0.00006800	0.00006800	1.88e-12
0.06122449	0.00022950	0.00022950	2.82e-12
0.08163265	0.00054399	0.00054399	3.76e-12
0.10204082	0.00106248	0.00106248	4.70e-12
0.12244898	0.00183597	0.00183597	5.64e-12
0.14285714	0.00291545	0.00291545	6.58e-12
0.16326531	0.00435193	0.00435193	7.52e-12
0.18367347	0.00619640	0.00619640	8.46e-12
0.20408163	0.00849986	0.00849986	9.40e-12
0.22448980	0.01131331	0.01131331	1.03e-11
0.24489796	0.01468776	0.01468776	1.13e-11
0.26530612	0.01867419	0.01867419	1.22e-11
0.28571429	0.02332362	0.02332362	1.32e-11
0.30612245	0.02868703	0.02868703	1.41e-11
0.32653061	0.03481543	0.03481543	1.50e-11
0.34693878	0.04175981	0.04175981	1.60e-11
0.36734694	0.04957118	0.04957118	1.69e-11
0.38775510	0.05830054	0.05830054	1.79e-11
0.40816327	0.06799888	0.06799888	1.88e-11
0.42857143	0.07871720	0.07871720	1.97e-11
0.44897959	0.09050651	0.09050651	2.07e-11
0.46938776	0.10341779	0.10341779	2.16e-11
0.48979592	0.11750206	0.11750206	2.26e-11
0.51020408	0.13281031	0.13281031	2.35e-11
0.53061224	0.14939354	0.14939354	2.44e-11
0.55102041	0.16730274	0.16730274	2.54e-11
0.57142857	0.18658892	0.18658892	2.63e-11
0.59183673	0.20730308	0.20730308	2.73e-11
0.61224490	0.22949621	0.22949621	2.82e-11
0.63265306	0.25321932	0.25321932	2.91e-11
0.65306122	0.27852340	0.27852340	3.01e-11
0.67346939	0.30545946	0.30545946	3.10e-11
0.69387755	0.33407849	0.33407849	3.20e-11
0.71428571	0.36443149	0.36443149	3.29e-11
0.73469388	0.39656946	0.39656946	3.38e-11
0.75510204	0.43054340	0.43054340	3.48e-11
0.77551020	0.46640430	0.46640430	3.57e-11
0.79591837	0.50420318	0.50420318	3.67e-11
0.81632653	0.54399102	0.54399102	3.76e-11
0.83673469	0.58581883	0.58581883	3.85e-11
0.85714286	0.62973761	0.62973761	3.95e-11
0.87755102	0.67579835	0.67579835	4.04e-11
0.89795918	0.72405205	0.72405205	4.14e-11
0.91836735	0.77454972	0.77454972	4.23e-11
0.93877551	0.82734235	0.82734235	4.32e-11
0.95918367	0.88248094	0.88248094	4.42e-11
0.97959184	0.94001649	0.94001649	4.51e-11
1.00000000	1.00000000	1.00000000	4.61e-11
