x	approx	analytic	error
0.00000000	0.00000000	0.00000000	1.29e-18
0.02040816	0.00000000	0.02387947	2.39e-02
0.04081633	0.00000000	0.04766082	4.77e-02
0.06122449	0.00000000	0.07124632	7.12e-02
0.08163265	0.00000000	0.09453905	9.45e-02
0.10204082	0.00000000	0.11744330	1.17e-01
0.12244898	0.00000000	0.13986495	1.40e-01
0.14285714	0.00000000	0.16171187	1.62e-01
0.16326531	0.00000000	0.18289428	1.83e-01
0.18367347	0.00000000	0.20332513	2.03e-01
0.20408163	0.00000000	0.22292048	2.23e-01
0.22448980	0.00000000	0.24159980	2.42e-01
0.24489796	0.00000000	0.25928634	2.59e-01
0.26530612	0.00000000	0.27590741	2.76e-01
0.28571429	0.00000000	0.29139472	2.91e-01
0.30612245	0.00000000	0.30568463	3.06e-01
0.32653061	0.00000000	0.31871841	3.19e-01
0.34693878	0.00000000	0.33044251	3.30e-01
0.36734694	0.00000000	0.34080875	3.41e-01
0.38775510	0.00000000	0.34977454	3.50e-01
0.40816327	0.00000000	0.35730302	3.57e-01
0.42857143	0.00000000	0.36336328	3.63e-01
0.44897959	0.00000001	0.36793039	3.68e-01
0.46938776	0.00000001	0.37098560	3.71e-01
0.48979592	0.00000001	0.37251635	3.73e-01
0.51020408	0.00000001	0.37251635	3.73e-01
0.53061224	0.00000001	0.37098560	3.71e-01
0.55102041	0.00000001	0.36793039	3.68e-01
0.57142857	0.00000000	0.36336328	3.63e-01
0.59183673	0.00000000	0.35730302	3.57e-01
0.61224490	0.00000000	0.34977454	3.50e-01
0.63265306	0.00000000	0.34080875	3.41e-01
0.65306122	0.00000000	0.33044251	3.30e-01
0.67346939	0.00000000	0.31871841	3.19e-01
0.69387755	0.00000000	0.30568463	3.06e-01
0.71428571	0.00000000	0.29139472	2.91e-01
0.73469388	0.00000000	0.27590741	2.76e-01
0.75510204	0.00000000	0.25928634	2.59e-01
0.77551020	0.00000000	0.24159980	2.42e-01
0.79591837	0.00000000	0.22292048	2.23e-01
0.81632653	0.00000000	0.20332513	2.03e-01
0.83673469	0.00000000	0.18289428	1.83e-01
0.85714286	0.00000000	0.16171187	1.62e-01
0.87755102	0.00000000	0.13986495	1.40e-01
0.89795918	0.00000000	0.11744330	1.17e-01
0.91836735	0.00000000	0.09453905	9.45e-02
0.93877551	0.00000000	0.07124632	7.12e-02
0.95918367	0.00000000	0.04766082	4.77e-02
0.97959184	0.00000000	0.02387947	2.39e-02
1.00000000	0.00000000	0.00000000	7.81e-17
