x	approx
0.00000000	0.00000000
0.01010101	0.00493654
0.02020202	0.00986812
0.03030303	0.01478975
0.04040404	0.01969650
0.05050505	0.02458341
0.06060606	0.02944557
0.07070707	0.03427808
0.08080808	0.03907607
0.09090909	0.04383472
0.10101010	0.04854923
0.11111111	0.05321486
0.12121212	0.05782690
0.13131313	0.06238071
0.14141414	0.06687172
0.15151515	0.07129539
0.16161616	0.07564727
0.17171717	0.07992298
0.18181818	0.08411821
0.19191919	0.08822875
0.20202020	0.09225044
0.21212121	0.09617925
0.22222222	0.10001121
0.23232323	0.10374247
0.24242424	0.10736927
0.25252525	0.11088796
0.26262626	0.11429500
0.27272727	0.11758695
0.28282828	0.12076049
0.29292929	0.12381245
0.30303030	0.12673973
0.31313131	0.12953940
0.32323232	0.13220863
0.33333333	0.13474474
0.34343434	0.13714518
0.35353535	0.13940752
0.36363636	0.14152949
0.37373737	0.14350895
0.38383838	0.14534390
0.39393939	0.14703251
0.40404040	0.14857307
0.41414141	0.14996404
0.42424242	0.15120399
0.43434343	0.15229170
0.44444444	0.15322607
0.45454545	0.15400615
0.46464646	0.15463116
0.47474747	0.15510046
0.48484848	0.15541360
0.49494949	0.15557024
0.50505051	0.15557024
0.51515152	0.15541360
0.52525253	0.15510046
0.53535354	0.15463116
0.54545455	0.15400615
0.55555556	0.15322607
0.56565657	0.15229170
0.57575758	0.15120399
0.58585859	0.14996404
0.59595960	0.14857307
0.60606061	0.14703251
0.61616162	0.14534390
0.62626263	0.14350895
0.63636364	0.14152949
0.64646465	0.13940752
0.65656566	0.13714518
0.66666667	0.13474474
0.67676768	0.13220863
0.68686869	0.12953940
0.69696970	0.12673973
0.70707071	0.12381245
0.71717172	0.12076049
0.72727273	0.11758695
0.73737374	0.11429500
0.74747475	0.11088796
0.75757576	0.10736927
0.76767677	0.10374247
0.77777778	0.10001121
0.78787879	0.09617925
0.79797980	0.09225044
0.80808081	0.08822875
0.81818182	0.08411821
0.82828283	0.07992298
0.83838384	0.07564727
0.84848485	0.07129539
0.85858586	0.06687172
0.86868687	0.06238071
0.87878788	0.05782690
0.88888889	0.05321486
0.89898990	0.04854923
0.90909091	0.04383472
0.91919192	0.03907607
0.92929293	0.03427808
0.93939394	0.02944557
0.94949495	0.02458341
0.95959596	0.01969650
0.96969697	0.01478975
0.97979798	0.00986812
0.98989899	0.00493654
1.00000000	0.00000000
