x	approx	analytic	error
0.00000000	0.00000000	0.00000000	2.08e-16
0.02040816	0.00000042	0.06407022	6.41e-02
0.04081633	0.00000085	0.12787716	1.28e-01
0.06122449	0.00000127	0.19115863	1.91e-01
0.08163265	0.00000168	0.25365458	2.54e-01
0.10204082	0.00000209	0.31510822	3.15e-01
0.12244898	0.00000249	0.37526700	3.75e-01
0.14285714	0.00000288	0.43388374	4.34e-01
0.16326531	0.00000325	0.49071755	4.91e-01
0.18367347	0.00000362	0.54553490	5.46e-01
0.20408163	0.00000397	0.59811053	5.98e-01
0.22448980	0.00000430	0.64822840	6.48e-01
0.24489796	0.00000461	0.69568255	6.96e-01
0.26530612	0.00000491	0.74027800	7.40e-01
0.28571429	0.00000519	0.78183148	7.82e-01
0.30612245	0.00000544	0.82017225	8.20e-01
0.32653061	0.00000567	0.85514276	8.55e-01
0.34693878	0.00000588	0.88659931	8.87e-01
0.36734694	0.00000607	0.91441262	9.14e-01
0.38775510	0.00000623	0.93846842	9.38e-01
0.40816327	0.00000636	0.95866785	9.59e-01
0.42857143	0.00000647	0.97492791	9.75e-01
0.44897959	0.00000656	0.98718178	9.87e-01
0.46938776	0.00000661	0.99537911	9.95e-01
0.48979592	0.00000664	0.99948622	9.99e-01
0.51020408	0.00000664	0.99948622	9.99e-01
0.53061224	0.00000662	0.99537911	9.95e-01
0.55102041	0.00000657	0.98718178	9.87e-01
0.57142857	0.00000649	0.97492791	9.75e-01
0.59183673	0.00000638	0.95866785	9.59e-01
0.61224490	0.00000625	0.93846842	9.38e-01
0.63265306	0.00000609	0.91441262	9.14e-01
0.65306122	0.00000591	0.88659931	8.87e-01
0.67346939	0.00000571	0.85514276	8.55e-01
0.69387755	0.00000548	0.82017225	8.20e-01
0.71428571	0.00000522	0.78183148	7.82e-01
0.73469388	0.00000495	0.74027800	7.40e-01
0.75510204	0.00000466	0.69568255	6.96e-01
0.77551020	0.00000435	0.64822840	6.48e-01
0.79591837	0.00000402	0.59811053	5.98e-01
0.81632653	0.00000367	0.54553490	5.46e-01
0.83673469	0.00000331	0.49071755	4.91e-01
0.85714286	0.00000294	0.43388374	4.34e-01
0.87755102	0.00000256	0.37526700	3.75e-01
0.89795918	0.00000216	0.31510822	3.15e-01
0.91836735	0.00000176	0.25365458	2.54e-01
0.93877551	0.00000135	0.19115863	1.91e-01
0.95918367	0.00000093	0.12787716	1.28e-01
0.97959184	0.00000051	0.06407022	6.41e-02
1.00000000	0.00000009	0.00000000	8.97e-08
